0987-R0	ARGM	The mixture was Δ cooled [/E1] back to Θ −78° C [/E2] .
0987-R1	ARGM	The reaction was Δ stirred [/E1] at Θ −20° C [/E2] .
0987-R2	ARGM	The reaction was Δ stirred [/E1] at −20° C . for Τ 30 min [/E2] .
0987-R3	ARG1	The crude residue was purified by flash chromatography to Δ afford [/E1] Π tertbutyl 5trifluoromethylsulfonyloxy36dihydropyridine12Hcarboxylate [/E2] 6.7 g 42% as a yellow oil .
0987-R4	ARGM	The crude residue was purified by flash chromatography to Δ afford [/E1] tertbutyl 5trifluoromethylsulfonyloxy36dihydropyridine12Hcarboxylate Υ 6.7 g [/E2] 42% as a yellow oil .
0987-R5	ARGM	The crude residue was purified by flash chromatography to Δ afford [/E1] tertbutyl 5trifluoromethylsulfonyloxy36dihydropyridine12Hcarboxylate 6.7 g Ψ 42% [/E2] as a yellow oil .
0987-R6	ARGM	The mixture was Δ stirred [/E1] at Θ room temperature [/E2] for 6 h .
0987-R7	ARGM	The mixture was Δ stirred [/E1] at room temperature for Τ 6 h [/E2] .
0987-R8	ARG1	The reaction was Λ quenched [/E1] with saturated aq . Ο ammonium chloride [/E2] .
0987-R9	ARG1	The reaction was Λ quenched [/E1] with saturated Ο aq [/E2] .
0987-R10	ARG1	and a solution of Α Nphenylbistrifluoromethanesulfonimide [/E1] 23.3 g 65.3 mmol in anhydrous THF 60 mL was Δ added [/E2] dropwise .
0987-R11	ARG1	and a solution of Nphenylbistrifluoromethanesulfonimide 23.3 g 65.3 mmol in anhydrous Σ THF [/E1] 60 mL was Δ added [/E2] dropwise .
0987-R12	ARG1	The aqueous layer was Λ extracted [/E1] with Ο ethyl acetate [/E2] 2×60 mL .
0987-R13	ARG1	In a separate flask to a mixture of Α tertbutyl 3oxopiperidine1carboxylate [/E1] 10 g 50.3 mmol in anhydrous THF 60 mL at −78° C . under nitrogen was slowly Δ added [/E2] the freshlymade LDA solution .
0987-R14	ARG1	In a separate flask to a mixture of tertbutyl 3oxopiperidine1carboxylate 10 g 50.3 mmol in anhydrous Σ THF [/E1] 60 mL at −78° C . under nitrogen was slowly Δ added [/E2] the freshlymade LDA solution .
0987-R15	ARGM	In a separate flask to a mixture of tertbutyl 3oxopiperidine1carboxylate 10 g 50.3 mmol in anhydrous THF 60 mL at Θ −78° C [/E1] . under nitrogen was slowly Δ added [/E2] the freshlymade LDA solution .
0987-R16	ARG1	under Ο nitrogen [/E1] was slowly Δ added [/E2] the freshlymade LDA solution .
0987-R17	ARG1	under nitrogen was slowly Δ added [/E1] the freshlymade Β LDA [/E2] solution .
0987-R18	ARGM	The mixture was Δ stirred [/E1] at Θ −20° C [/E2] .
0987-R19	ARGM	The mixture was Δ stirred [/E1] at −20° C . for Τ 30 min [/E2] .
0987-R20	ARG1	Example 66 1R124Dichlorophenylethyl3methyl63methyl34bipiperidin1yl1Hpyrazolo34bpyrazine hydrochloride Step 1 Tertbutyl 5trifluoromethylsulfonyloxy36dihydropyridine12Hcarboxylate To a solution of Β diisopropylamine [/E1] 12.2 mL 86.2 mmol in anhydrous THF 45 mL at −78° C . was Δ added [/E2] nBuLi 2.5 M in hexanes 31.3 mL 78.4 mmol dropwise .
0987-R21	ARG1	Example 66 1R124Dichlorophenylethyl3methyl63methyl34bipiperidin1yl1Hpyrazolo34bpyrazine hydrochloride Step 1 Tertbutyl 5trifluoromethylsulfonyloxy36dihydropyridine12Hcarboxylate To a solution of diisopropylamine 12.2 mL 86.2 mmol in anhydrous Σ THF [/E1] 45 mL at −78° C . was Δ added [/E2] nBuLi 2.5 M in hexanes 31.3 mL 78.4 mmol dropwise .
0987-R22	ARGM	Example 66 1R124Dichlorophenylethyl3methyl63methyl34bipiperidin1yl1Hpyrazolo34bpyrazine hydrochloride Step 1 Tertbutyl 5trifluoromethylsulfonyloxy36dihydropyridine12Hcarboxylate To a solution of diisopropylamine 12.2 mL 86.2 mmol in anhydrous THF 45 mL at Θ −78° C [/E1] . was Δ added [/E2] nBuLi 2.5 M in hexanes 31.3 mL 78.4 mmol dropwise .
0987-R23	ARG1	was Δ added [/E1] Β nBuLi [/E2] 2.5 M in hexanes 31.3 mL 78.4 mmol dropwise .
0987-R24	ARG1	was Δ added [/E1] nBuLi 2.5 M in Σ hexanes [/E2] 31.3 mL 78.4 mmol dropwise .
0987-R25	ARG1	The combined organic layers were Λ dried [/E1] over Ο sodium sulfate [/E2] filtered and concentrated .
0987-N0	NONE	The aqueous layer was extracted with Ο ethyl acetate [/E1] 2×60 mL . The combined organic layers were Λ dried [/E2] over sodium sulfate filtered and concentrated .
0987-N1	NONE	Ο ammonium chloride [/E1] . The aqueous layer was extracted with ethyl acetate 2×60 mL . The combined organic layers were Λ dried [/E2] over sodium sulfate filtered and concentrated .
0987-N2	NONE	The reaction was quenched with saturated Ο aq [/E1] . ammonium chloride . The aqueous layer was extracted with ethyl acetate 2×60 mL . The combined organic layers were Λ dried [/E2] over sodium sulfate filtered and concentrated .
0987-N3	NONE	The combined organic layers were Λ dried [/E1] over sodium sulfate filtered and concentrated . The crude residue was purified by flash chromatography to afford Π tertbutyl 5trifluoromethylsulfonyloxy36dihydropyridine12Hcarboxylate [/E2] 6.7 g 42% as a yellow oil .
0987-N4	NONE	The combined organic layers were Λ dried [/E1] over sodium sulfate filtered and concentrated . The crude residue was purified by flash chromatography to afford tertbutyl 5trifluoromethylsulfonyloxy36dihydropyridine12Hcarboxylate Υ 6.7 g [/E2] 42% as a yellow oil .
0987-N5	NONE	The combined organic layers were Λ dried [/E1] over sodium sulfate filtered and concentrated . The crude residue was purified by flash chromatography to afford tertbutyl 5trifluoromethylsulfonyloxy36dihydropyridine12Hcarboxylate 6.7 g Ψ 42% [/E2] as a yellow oil .
0987-N6	NONE	The combined organic layers were dried over Ο sodium sulfate [/E1] filtered and concentrated . The crude residue was purified by flash chromatography to Δ afford [/E2] tertbutyl 5trifluoromethylsulfonyloxy36dihydropyridine12Hcarboxylate 6.7 g 42% as a yellow oil .
0987-N7	NONE	The aqueous layer was extracted with Ο ethyl acetate [/E1] 2×60 mL . The combined organic layers were dried over sodium sulfate filtered and concentrated . The crude residue was purified by flash chromatography to Δ afford [/E2] tertbutyl 5trifluoromethylsulfonyloxy36dihydropyridine12Hcarboxylate 6.7 g 42% as a yellow oil .
0987-N8	NONE	Ο ammonium chloride [/E1] . The aqueous layer was extracted with ethyl acetate 2×60 mL . The combined organic layers were dried over sodium sulfate filtered and concentrated . The crude residue was purified by flash chromatography to Δ afford [/E2] tertbutyl 5trifluoromethylsulfonyloxy36dihydropyridine12Hcarboxylate 6.7 g 42% as a yellow oil .
