0261-R0	ARG1	for 1 hour a saturated aqueous ammonium chloride solution was added thereto and the mixture was Λ extracted [/E1] with Ο methylene chloride [/E2] .
0261-R1	ARG1	The obtained residue was Λ purified [/E1] by Ο silica gel [/E2] chromatography to obtain 404 mg yield 92% of 4fluoro34methylphenylfuroxan .
0261-R2	ARG1	A solution of Β tetrabutylammonium fluoride [/E1] in tetrahydrofuran 1 M 2.9 mL was slowly Δ added [/E2] dropwise to the resulting solution .
0261-R3	ARG1	A solution of tetrabutylammonium fluoride in Σ tetrahydrofuran [/E1] 1 M 2.9 mL was slowly Δ added [/E2] dropwise to the resulting solution .
0261-R4	ARG1	for 1 hour a saturated Ο aqueous [/E1] ammonium chloride solution was Λ added [/E2] thereto and the mixture was extracted with methylene chloride .
0261-R5	ARG1	for 1 hour a saturated aqueous Ο ammonium chloride [/E1] solution was Λ added [/E2] thereto and the mixture was extracted with methylene chloride .
0261-R6	ARGM	After Δ stirring [/E1] the mixture at Θ 0° C [/E2] .
0261-R7	ARGM	After Δ stirring [/E1] the mixture at 0° C . for Τ 1 hour [/E2] a saturated aqueous ammonium chloride solution was added thereto and the mixture was extracted with methylene chloride .
0261-R8	ARG1	After Λ drying [/E1] the extract over anhydrous Ο sodium sulfate [/E2] the solid was removed by filtration and then the solvent was distilled off under reduced pressure .
0261-R9	ARGM	The obtained residue was purified by silica gel chromatography to Δ obtain [/E1] Υ 404 mg [/E2] yield 92% of 4fluoro34methylphenylfuroxan .
0261-R10	ARGM	The obtained residue was purified by silica gel chromatography to Δ obtain [/E1] 404 mg yield Ψ 92% [/E2] of 4fluoro34methylphenylfuroxan .
0261-R11	ARG1	The obtained residue was purified by silica gel chromatography to Δ obtain [/E1] 404 mg yield 92% of Π 4fluoro34methylphenylfuroxan [/E2] .
0261-R12	ARG1	Example 1 Synthesis of 4Fluorofuroxan Compound Α 34Methylphenyl4nitrofuroxan [/E1] 500 mg was Δ dissolved [/E2] in tetrahydrofuran 4.6 mL and the resulting solution was cooled to 0° C .
0261-R13	ARG1	Example 1 Synthesis of 4Fluorofuroxan Compound 34Methylphenyl4nitrofuroxan 500 mg was Δ dissolved [/E1] in Σ tetrahydrofuran [/E2] 4.6 mL and the resulting solution was cooled to 0° C .
0261-R14	ARGM	Example 1 Synthesis of 4Fluorofuroxan Compound 34Methylphenyl4nitrofuroxan 500 mg was dissolved in tetrahydrofuran 4.6 mL and the resulting solution was Δ cooled [/E1] to Θ 0° C [/E2] .
0261-N0	NONE	Example 1 Synthesis of Π 4Fluorofuroxan Compound [/E1] 34Methylphenyl4nitrofuroxan 500 mg was Δ dissolved [/E2] in tetrahydrofuran 4.6 mL and the resulting solution was cooled to 0° C .
0261-N1	NONE	Example 1 Synthesis of 4Fluorofuroxan Compound 34Methylphenyl4nitrofuroxan 500 mg was Δ dissolved [/E1] in tetrahydrofuran 4.6 mL and the resulting solution was cooled to Θ 0° C [/E2] .
0261-N2	NONE	Example 1 Synthesis of 4Fluorofuroxan Compound 34Methylphenyl4nitrofuroxan 500 mg was Δ dissolved [/E1] in tetrahydrofuran 4.6 mL and the resulting solution was cooled to 0° C . A solution of Β tetrabutylammonium fluoride [/E2] in tetrahydrofuran 1 M 2.9 mL was slowly added dropwise to the resulting solution .
0261-N3	NONE	Example 1 Synthesis of 4Fluorofuroxan Compound 34Methylphenyl4nitrofuroxan 500 mg was Δ dissolved [/E1] in tetrahydrofuran 4.6 mL and the resulting solution was cooled to 0° C . A solution of tetrabutylammonium fluoride in Σ tetrahydrofuran [/E2] 1 M 2.9 mL was slowly added dropwise to the resulting solution .
0261-N4	NONE	Example 1 Synthesis of 4Fluorofuroxan Compound 34Methylphenyl4nitrofuroxan 500 mg was dissolved in Σ tetrahydrofuran [/E1] 4.6 mL and the resulting solution was Δ cooled [/E2] to 0° C .
0261-N5	NONE	Example 1 Synthesis of 4Fluorofuroxan Compound Α 34Methylphenyl4nitrofuroxan [/E1] 500 mg was dissolved in tetrahydrofuran 4.6 mL and the resulting solution was Δ cooled [/E2] to 0° C .
0261-N6	NONE	Example 1 Synthesis of Π 4Fluorofuroxan Compound [/E1] 34Methylphenyl4nitrofuroxan 500 mg was dissolved in tetrahydrofuran 4.6 mL and the resulting solution was Δ cooled [/E2] to 0° C .
0261-N7	NONE	Example 1 Synthesis of 4Fluorofuroxan Compound 34Methylphenyl4nitrofuroxan 500 mg was dissolved in tetrahydrofuran 4.6 mL and the resulting solution was Δ cooled [/E1] to 0° C . A solution of Β tetrabutylammonium fluoride [/E2] in tetrahydrofuran 1 M 2.9 mL was slowly added dropwise to the resulting solution .
0261-N8	NONE	Example 1 Synthesis of 4Fluorofuroxan Compound 34Methylphenyl4nitrofuroxan 500 mg was dissolved in tetrahydrofuran 4.6 mL and the resulting solution was Δ cooled [/E1] to 0° C . A solution of tetrabutylammonium fluoride in Σ tetrahydrofuran [/E2] 1 M 2.9 mL was slowly added dropwise to the resulting solution .
0261-N9	NONE	Example 1 Synthesis of 4Fluorofuroxan Compound 34Methylphenyl4nitrofuroxan 500 mg was dissolved in tetrahydrofuran 4.6 mL and the resulting solution was cooled to Θ 0° C [/E1] . A solution of tetrabutylammonium fluoride in tetrahydrofuran 1 M 2.9 mL was slowly Δ added [/E2] dropwise to the resulting solution .
0261-N10	NONE	Example 1 Synthesis of 4Fluorofuroxan Compound 34Methylphenyl4nitrofuroxan 500 mg was dissolved in Σ tetrahydrofuran [/E1] 4.6 mL and the resulting solution was cooled to 0° C . A solution of tetrabutylammonium fluoride in tetrahydrofuran 1 M 2.9 mL was slowly Δ added [/E2] dropwise to the resulting solution .
0261-N11	NONE	A solution of tetrabutylammonium fluoride in tetrahydrofuran 1 M 2.9 mL was slowly Δ added [/E1] dropwise to the resulting solution . After stirring the mixture at Θ 0° C [/E2] .
0261-N12	NONE	A solution of tetrabutylammonium fluoride in tetrahydrofuran 1 M 2.9 mL was slowly Δ added [/E1] dropwise to the resulting solution . After stirring the mixture at 0° C . for Τ 1 hour [/E2] a saturated aqueous ammonium chloride solution was added thereto and the mixture was extracted with methylene chloride .
0261-N13	NONE	A solution of tetrabutylammonium fluoride in tetrahydrofuran 1 M 2.9 mL was slowly Δ added [/E1] dropwise to the resulting solution . After stirring the mixture at 0° C . for 1 hour a saturated Ο aqueous [/E2] ammonium chloride solution was added thereto and the mixture was extracted with methylene chloride .
0261-N14	NONE	A solution of tetrabutylammonium fluoride in tetrahydrofuran 1 M 2.9 mL was slowly Δ added [/E1] dropwise to the resulting solution . After stirring the mixture at 0° C . for 1 hour a saturated aqueous Ο ammonium chloride [/E2] solution was added thereto and the mixture was extracted with methylene chloride .
0261-N15	NONE	A solution of tetrabutylammonium fluoride in Σ tetrahydrofuran [/E1] 1 M 2.9 mL was slowly added dropwise to the resulting solution . After Δ stirring [/E2] the mixture at 0° C .
